127.0.0.1 - - [05/Aug/2026 22:18:30] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "GET /metrics HTTP/1.1" 404 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "GET /metrics HTTP/1.1" 404 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 503 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "POST /v1/chat/completions HTTP/1.1" 200 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "GET /metrics HTTP/1.1" 404 -
127.0.0.1 - - [05/Aug/2026 22:18:36] "GET /metrics HTTP/1.1" 404 -
